#Rho(as),H_contr_11min_Ltype,H_contr_60min_Ltype
#Short caption: GPI: 5-sigma post-processed [KLIP + forward model match filter] contrast curve for H-band IFS mode, 1hr integration. Calculated from an 11min H-band IFS observation of Sirius, reduced with Jean-Baptiste Ruffio’s Forward Model Matched Filter code, optimized for L-type objects. The 60min column is sqrt(t) scaling from the 11min column, for a more equal comparison to the SPHERE 59min IFS contrast curve. (source: B. Macintosh, personal communication).
#References: http://adsabs.harvard.edu/abs/2017ApJ...842...14R
0.155826,2.07E-05,8.87E-06
0.171923727,1.50E-05,6.44E-06
0.188021455,1.23E-05,5.26E-06
0.204119182,9.73E-06,4.17E-06
0.220216909,8.34E-06,3.57E-06
0.236314636,6.41E-06,2.74E-06
0.252412364,4.68E-06,2.00E-06
0.268510091,3.46E-06,1.48E-06
0.284607818,2.71E-06,1.16E-06
0.300705545,2.15E-06,9.21E-07
0.316803273,1.64E-06,7.04E-07
0.332901,1.23E-06,5.29E-07
0.348998727,9.86E-07,4.22E-07
0.365096455,8.29E-07,3.55E-07
0.381194182,7.18E-07,3.08E-07
0.397291909,6.64E-07,2.84E-07
0.413389636,6.30E-07,2.70E-07
0.429487364,5.90E-07,2.53E-07
0.445585091,5.27E-07,2.26E-07
0.461682818,4.72E-07,2.02E-07
0.477780545,4.31E-07,1.84E-07
0.493878273,4.13E-07,1.77E-07
0.509976,4.17E-07,1.79E-07
0.526073727,4.16E-07,1.78E-07
0.542171455,3.97E-07,1.70E-07
0.558269182,3.61E-07,1.54E-07
0.574366909,3.23E-07,1.38E-07
0.590464636,3.02E-07,1.29E-07
0.606562364,2.81E-07,1.20E-07
0.622660091,2.64E-07,1.13E-07
0.638757818,2.51E-07,1.07E-07
0.654855545,2.38E-07,1.02E-07
0.670953273,2.31E-07,9.89E-08
0.687051,2.27E-07,9.71E-08
0.703148727,2.22E-07,9.50E-08
0.719246455,2.16E-07,9.24E-08
0.735344182,2.12E-07,9.08E-08
0.751441909,2.08E-07,8.92E-08
0.767539636,2.09E-07,8.95E-08
0.783637364,2.08E-07,8.90E-08
0.799735091,2.05E-07,8.79E-08
0.815832818,2.09E-07,8.93E-08
0.831930545,2.12E-07,9.06E-08
0.848028273,2.13E-07,9.12E-08
0.864126,2.09E-07,8.96E-08
0.880223727,1.98E-07,8.49E-08
0.896321455,1.86E-07,7.98E-08
0.912419182,1.76E-07,7.53E-08
0.928516909,1.67E-07,7.16E-08
0.944614636,1.62E-07,6.92E-08
0.960712364,1.59E-07,6.79E-08
0.976810091,1.57E-07,6.72E-08
0.992907818,1.56E-07,6.70E-08
1.009005545,1.54E-07,6.61E-08
1.025103273,1.53E-07,6.55E-08
1.041201,1.52E-07,6.52E-08
1.057298727,1.51E-07,6.48E-08
1.073396455,1.52E-07,6.51E-08
1.089494182,1.54E-07,6.59E-08
1.105591909,1.60E-07,6.86E-08
1.121689636,1.74E-07,7.46E-08
1.137787364,1.94E-07,8.31E-08
1.153885091,2.11E-07,9.03E-08
1.169982818,2.26E-07,9.68E-08
1.186080545,2.52E-07,1.08E-07
1.202178273,2.79E-07,1.19E-07
1.218276,3.19E-07,1.37E-07
1.234373727,3.46E-07,1.48E-07
1.250471455,3.61E-07,1.54E-07
1.266569182,3.74E-07,1.60E-07
1.282666909,3.88E-07,1.66E-07
1.298764636,4.08E-07,1.74E-07
1.314862364,4.22E-07,1.81E-07
1.330960091,4.39E-07,1.88E-07
1.347057818,4.73E-07,2.03E-07
1.363155545,5.00E-07,2.14E-07
1.379253273,5.18E-07,2.22E-07
1.395351,5.14E-07,2.20E-07
1.411448727,5.15E-07,2.20E-07
1.427546455,5.32E-07,2.28E-07
1.443644182,5.62E-07,2.40E-07
1.459741909,5.87E-07,2.51E-07
1.475839636,5.86E-07,2.51E-07
1.491937364,5.77E-07,2.47E-07
1.508035091,5.93E-07,2.54E-07
1.524132818,6.24E-07,2.67E-07
1.540230545,6.56E-07,2.81E-07
1.556328273,6.81E-07,2.92E-07
1.572426,6.90E-07,2.96E-07
1.588523727,7.11E-07,3.04E-07
1.604621455,7.49E-07,3.21E-07
1.620719182,7.46E-07,3.20E-07
1.636816909,7.41E-07,3.17E-07
1.652914636,7.03E-07,3.01E-07
1.669012364,7.24E-07,3.10E-07
1.685110091,7.65E-07,3.28E-07
1.701207818,7.98E-07,3.42E-07
1.717305545,8.23E-07,3.53E-07
1.733403273,8.28E-07,3.55E-07
