#Rho(as),H_contr_11min_Ttype,H_contr_60min_Ttype
#Short caption: GPI: 5-sigma post-processed [KLIP + forward model match filter] contrast curve for H-band IFS mode, 1hr integration. Calculated from an 11min H-band IFS observation of Sirius, reduced with Jean-Baptiste Ruffio’s Forward Model Matched Filter code, optimized for T-type objects. The 60min column is sqrt(t) scaling from the 11min column, for a more equal comparison to the SPHERE 59min IFS contrast curve. (source: B. Macintosh, personal communication).
#References: http://adsabs.harvard.edu/abs/2017ApJ...842...14R
0.155826,7.90E-06,3.38E-06
0.171923727,5.62E-06,2.41E-06
0.188021455,4.14E-06,1.77E-06
0.204119182,2.96E-06,1.27E-06
0.220216909,2.34E-06,1.00E-06
0.236314636,1.68E-06,7.18E-07
0.252412364,1.29E-06,5.50E-07
0.268510091,9.84E-07,4.21E-07
0.284607818,7.51E-07,3.22E-07
0.300705545,5.87E-07,2.51E-07
0.316803273,4.96E-07,2.12E-07
0.332901,4.19E-07,1.80E-07
0.348998727,3.57E-07,1.53E-07
0.365096455,3.14E-07,1.34E-07
0.381194182,2.91E-07,1.25E-07
0.397291909,2.82E-07,1.21E-07
0.413389636,2.80E-07,1.20E-07
0.429487364,2.77E-07,1.19E-07
0.445585091,2.75E-07,1.18E-07
0.461682818,2.65E-07,1.13E-07
0.477780545,2.50E-07,1.07E-07
0.493878273,2.36E-07,1.01E-07
0.509976,2.23E-07,9.55E-08
0.526073727,2.13E-07,9.12E-08
0.542171455,2.02E-07,8.65E-08
0.558269182,1.93E-07,8.24E-08
0.574366909,1.88E-07,8.03E-08
0.590464636,1.86E-07,7.95E-08
0.606562364,1.84E-07,7.86E-08
0.622660091,1.80E-07,7.72E-08
0.638757818,1.76E-07,7.53E-08
0.654855545,1.67E-07,7.17E-08
0.670953273,1.58E-07,6.76E-08
0.687051,1.52E-07,6.49E-08
0.703148727,1.50E-07,6.41E-08
0.719246455,1.49E-07,6.37E-08
0.735344182,1.48E-07,6.35E-08
0.751441909,1.48E-07,6.33E-08
0.767539636,1.53E-07,6.53E-08
0.783637364,1.57E-07,6.73E-08
0.799735091,1.57E-07,6.71E-08
0.815832818,1.54E-07,6.61E-08
0.831930545,1.51E-07,6.45E-08
0.848028273,1.48E-07,6.33E-08
0.864126,1.43E-07,6.14E-08
0.880223727,1.35E-07,5.79E-08
0.896321455,1.26E-07,5.40E-08
0.912419182,1.20E-07,5.15E-08
0.928516909,1.19E-07,5.08E-08
0.944614636,1.18E-07,5.06E-08
0.960712364,1.17E-07,5.00E-08
0.976810091,1.14E-07,4.88E-08
0.992907818,1.10E-07,4.70E-08
1.009005545,1.06E-07,4.54E-08
1.025103273,1.05E-07,4.51E-08
1.041201,1.07E-07,4.58E-08
1.057298727,1.09E-07,4.65E-08
1.073396455,1.12E-07,4.80E-08
1.089494182,1.17E-07,5.01E-08
1.105591909,1.27E-07,5.43E-08
1.121689636,1.42E-07,6.07E-08
1.137787364,1.60E-07,6.87E-08
1.153885091,1.83E-07,7.84E-08
1.169982818,2.08E-07,8.91E-08
1.186080545,2.33E-07,9.97E-08
1.202178273,2.42E-07,1.03E-07
1.218276,2.50E-07,1.07E-07
1.234373727,2.59E-07,1.11E-07
1.250471455,2.79E-07,1.19E-07
1.266569182,2.99E-07,1.28E-07
1.282666909,3.03E-07,1.30E-07
1.298764636,2.97E-07,1.27E-07
1.314862364,2.84E-07,1.21E-07
1.330960091,2.89E-07,1.24E-07
1.347057818,3.11E-07,1.33E-07
1.363155545,3.22E-07,1.38E-07
1.379253273,3.26E-07,1.40E-07
1.395351,3.23E-07,1.38E-07
1.411448727,3.38E-07,1.45E-07
1.427546455,3.73E-07,1.60E-07
1.443644182,4.14E-07,1.77E-07
1.459741909,4.53E-07,1.94E-07
1.475839636,4.72E-07,2.02E-07
1.491937364,4.71E-07,2.02E-07
1.508035091,4.76E-07,2.04E-07
1.524132818,5.01E-07,2.15E-07
1.540230545,5.43E-07,2.32E-07
1.556328273,5.90E-07,2.53E-07
1.572426,6.17E-07,2.64E-07
1.588523727,6.52E-07,2.79E-07
1.604621455,7.02E-07,3.00E-07
1.620719182,7.30E-07,3.13E-07
1.636816909,7.46E-07,3.20E-07
1.652914636,7.29E-07,3.12E-07
1.669012364,7.31E-07,3.13E-07
1.685110091,7.32E-07,3.13E-07
1.701207818,7.37E-07,3.16E-07
1.717305545,7.36E-07,3.15E-07
1.733403273,7.05E-07,3.02E-07
