#row	arcsec	contrast	"fromn Peter Lawson,   dat/hst/hst_acs_psf_sub_limit.dat”, 	"probably 4.6 micron, 5 sigma, 1 hour"
2	0.20	3.69E-04
3	0.30	1.73E-04	
4	0.40	6.94E-05	
5	0.50	3.15E-05	
6	0.60	2.41E-05	
7	0.70	8.92E-06	
8	0.80	6.28E-06	
9	0.90	4.12E-06	
10	1.00	2.83E-06	
11	1.10	1.45E-06	
12	1.20	1.49E-06	
13	1.30	6.91E-07	
14	1.40	4.89E-07	
15	1.50	2.89E-07	
16	1.60	1.73E-07	
17	1.70	1.28E-07	
18	1.80	1.07E-07	
19	1.90	7.25E-08	
20	2.00	7.15E-08	
21	2.10	5.09E-08	
22	2.20	5.32E-08	
23	2.30	4.57E-08	
24	2.40	4.08E-08	
25	2.50	3.43E-08	
26	2.60	2.86E-08	
27	2.70	2.29E-08	
28	2.80	2.09E-08	
29	2.90	1.74E-08	
30	3.00	1.17E-08	
31	3.10	1.10E-08	
32	3.20	1.01E-08	
33	3.30	8.36E-09	
34	3.40	7.76E-09	
35	3.50	6.94E-09	
36	3.60	6.48E-09	
37	3.70	5.69E-09	
38	3.80	5.33E-09	
39	3.90	5.20E-09	
40	4.00	4.71E-09	
41	4.10	4.37E-09	
42	4.20	4.15E-09	
43	4.30	4.05E-09	
44	4.40	3.79E-09	
45	4.50	3.58E-09	
46	4.60	3.51E-09	
47	4.70	3.34E-09	
48	4.80	3.34E-09	
49	4.90	3.15E-09	
50	5.00	3.10E-09	
51	5.10	3.03E-09	
52	5.20	2.87E-09	
53	5.30	2.77E-09	
54	5.40	2.72E-09	
55	5.50	2.53E-09	
56	5.60	2.58E-09	
57	5.70	2.30E-09	
58	5.80	2.29E-09	
59	5.90	2.24E-09	
60	6.00	2.24E-09	
61	6.10	2.22E-09	
62	6.20	2.26E-09	
63	6.30	2.11E-09	
64	6.40	2.02E-09	
65	6.50	2.01E-09	
66	6.60	1.86E-09	
67	6.70	1.84E-09	
68	6.80	1.82E-09	
69	6.90	1.72E-09	
70	7.00	1.67E-09	
71	7.10	1.67E-09	
72	7.20	1.65E-09	
73	7.30	1.56E-09	
74	7.40	1.70E-09	
75	7.50	1.59E-09	
76	7.60	1.46E-09	
77	7.70	1.44E-09	
78	7.80	1.39E-09	
79	7.90	1.46E-09	
80	8.00	1.36E-09	
81	8.10	1.34E-09	
82	8.20	1.29E-09	
83	8.30	1.29E-09	
84	8.40	1.30E-09	
85	8.50	1.21E-09	
86	8.60	1.30E-09	
87	8.70	1.19E-09	
88	8.80	1.15E-09	
89	8.90	1.18E-09	
90	9.00	1.16E-09	
91	9.10	1.13E-09	
92	9.20	1.10E-09	
93	9.30	1.08E-09	
94	9.40	1.09E-09	
95	9.50	1.13E-09	
96	9.60	1.09E-09	
97	9.70	1.10E-09	
98	9.80	1.02E-09	
99	9.90	1.00E-09	
100	10.00	9.99E-10	
101	10.10	1.01E-09	
102	10.20	9.87E-10	
103	10.30	9.86E-10	
104	10.40	9.37E-10	
105	10.50	9.37E-10	
106	10.60	9.36E-10	
107	10.70	9.52E-10	
108	10.80	9.13E-10	
109	10.90	9.01E-10	
110	11.00	9.17E-10	
111	11.10	9.23E-10	
112	11.20	8.82E-10	
113	11.30	8.74E-10	
114	11.40	8.71E-10	
115	11.50	8.70E-10	
116	11.60	8.62E-10	
117	11.70	8.18E-10	
118	11.80	8.10E-10	
119	11.90	7.96E-10	
120	12.00	7.73E-10	
121	12.10	7.80E-10	
122	12.20	7.75E-10	
123	12.30	7.76E-10	
124	12.40	7.63E-10	
125	12.50	7.45E-10	
126	12.60	7.99E-10	
127	12.70	7.55E-10	
128	12.80	7.37E-10	
129	12.90	7.25E-10	
130	13.00	7.25E-10	
131	13.10	7.29E-10	
132	13.20	7.17E-10	
133	13.30	7.03E-10	
134	13.40	6.81E-10	
135	13.50	6.95E-10	
136	13.60	7.28E-10	
137	13.70	6.57E-10	
138	13.80	6.80E-10	
139	13.90	6.14E-10	
140	14.00	6.07E-10	
141	14.10	6.15E-10	
142	14.20	6.20E-10	
143	14.30	6.21E-10	
144	14.40	6.20E-10	
145	14.50	6.17E-10	
146	14.60	6.04E-10	
147	14.70	6.00E-10	
148	14.80	5.95E-10	
149	14.90	6.02E-10	
150	15.00	6.04E-10	
