#row	arcsec	contrast	from Peter Lawson's    dat/jwst/f460m_5sig_limit_2nm_delta_wfe.dat. "probably 4.6 micron, 5 sigma, 1 hour"
2	0.585	4.25E-07	
3	0.650	5.51E-07	
4	0.715	8.98E-07	
5	0.780	1.20E-06	
6	0.845	1.21E-06	
7	0.910	9.58E-07	
8	0.975	8.92E-07	
9	1.040	6.11E-07	
10	1.105	4.43E-07	
11	1.170	3.47E-07	
12	1.235	4.84E-07	
13	1.300	6.09E-07	
14	1.365	5.25E-07	
15	1.430	5.46E-07	
16	1.495	5.12E-07	
17	1.560	4.68E-07	
18	1.625	3.47E-07	
19	1.690	2.55E-07	
20	1.755	2.13E-07	
21	1.820	1.72E-07	
22	1.885	1.51E-07	
23	1.950	1.26E-07	
24	2.015	9.17E-08	
25	2.080	6.51E-08	
26	2.145	7.52E-08	
27	2.210	8.03E-08	
28	2.275	6.98E-08	
29	2.340	5.64E-08	
30	2.405	4.81E-08	
31	2.470	3.97E-08	
32	2.535	3.55E-08	
33	2.600	4.17E-08	
34	2.665	5.49E-08	
35	2.730	5.47E-08	
36	2.795	5.19E-08	
37	2.860	5.04E-08	
38	2.925	4.40E-08	
39	2.990	4.11E-08	
40	3.055	3.63E-08	
41	3.120	3.42E-08	
42	3.185	3.30E-08	
43	3.250	2.67E-08	
44	3.315	2.25E-08	
45	3.380	1.90E-08	
46	3.445	1.73E-08	
47	3.510	1.35E-08	
48	3.575	1.16E-08	
49	3.640	1.07E-08	
50	3.705	1.03E-08	
51	3.770	9.57E-09	
52	3.835	8.67E-09	
53	3.900	8.87E-09	
54	3.965	9.32E-09	
55	4.030	9.26E-09	
56	4.095	9.75E-09	
57	4.160	8.85E-09	
58	4.225	8.20E-09	
59	4.290	7.29E-09	
60	4.355	6.28E-09	
61	4.420	5.57E-09	
62	4.485	4.91E-09	
63	4.550	4.70E-09	
64	4.615	4.32E-09	
65	4.680	3.74E-09	
66	4.745	3.61E-09	
67	4.810	3.40E-09	
68	4.875	3.73E-09	
69	4.940	3.93E-09	
70	5.005	4.04E-09	
71	5.070	4.30E-09	
72	5.135	4.86E-09	
73	5.200	5.94E-09	
74	5.265	6.41E-09	
75	5.330	6.56E-09	
76	5.395	6.10E-09	
77	5.460	5.41E-09	
78	5.525	4.59E-09	
79	5.590	3.97E-09	
80	5.655	3.32E-09	
81	5.720	2.79E-09	
82	5.785	2.44E-09	
83	5.850	2.38E-09	
84	5.915	2.19E-09	
85	5.980	2.00E-09	
